"","INSTNM","STABBR","ACCREDAGENCY","HIGHDEG","ADM_RATE_ALL","SAT_AVG_ALL","PCIP14","UGDS","COSTT4_A","COSTT4_P","TUITIONFEE_IN","TUITIONFEE_OUT","TUITFTE","INEXPFTE","AVGFACSAL","PCTFLOAN","PAR_ED_PCT_PS","DEP_INC_AVG","DEBT_MDN","AGE_ENTRY","FEMALE","VETERAN","FAMINC","GRADS"
"1","Alabama A & M University","AL","Southern Association of Colleges and Schools Commission on Colleges",4,"0.87377537980974","849","0.0896","4616","22667","NULL","9366","17496","9590","5888","7028","0.7667","0.6341719078","34779.085684","13246","20.283741368","0.5640301318","0.003138732","32362.826114","1008"
"2","University of Alabama at Birmingham","AL","Southern Association of Colleges and Schools Commission on Colleges",4,"0.581351094196","1125","0.0599","12047","22684","NULL","8040","18368","11007","17055","10517","0.5179","0.658776329","61110.800384","14979.5","23.60797466","0.6390907397","0.0031675051","51306.674306","7166"
"3","Amridge University","AL","Southern Association of Colleges and Schools Commission on Colleges",4,"NULL","NULL","0","293","13380","NULL","7180","7180","16512","5417","3857","0.8436","0.4875","25211.032258","10430","33.672297297","0.6486486486","0.0405405405","21079.472973","303"
"4","University of Alabama in Huntsville","AL","Southern Association of Colleges and Schools Commission on Colleges",4,"0.76281628162816","1257","0.2702","6346","22059","NULL","9842","20612","8902","10558","9463","0.4312","0.6898678414","72240.892617","13522","22.727919632","0.4763499372","PrivacySuppressed","61096.588949","1961"
"5","Alabama State University","AL","Southern Association of Colleges and Schools Commission on Colleges",4,"0.458963879377","825","0","4704","19242","NULL","9220","16156","8435","7889","7952","0.8113","0.6565656566","34468.571812","15738","20.130990415","0.6134185304","PrivacySuppressed","31684.382188","591"
"6","The University of Alabama","AL","Southern Association of Colleges and Schools Commission on Colleges",4,"0.52585192352956","1202","0.1036","31663","28422","NULL","10470","26950","13627","10478","9802","0.4007","0.7742873113","101976.77516","17340","21.137701396","0.6152524168","0.0039742213","91846.749624","5100"
"7","Central Alabama Community College","AL","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","1492","13868","NULL","4380","7890","2065","6187","5960","0.3234","0.4503239741","36871.779273","5764","23.071028037","0.6037383178","PrivacySuppressed","30767.764486","NULL"
"8","Athens State University","AL","Southern Association of Colleges and Schools Commission on Colleges",3,"NULL","NULL","0","2888","NULL","NULL","NULL","NULL","6140","6445","8367","0.6455","0.5225035162","56488.670561","13461","30.384765625","0.705078125","PrivacySuppressed","38479.38737","38"
"9","Auburn University at Montgomery","AL","Southern Association of Colleges and Schools Commission on Colleges",4,"0.76592082616179","1009","0","4171","19255","NULL","9640","20710","8210","7216","7251","0.5565","0.61810391","46985.570342","10750","22.199804114","0.6929480901","0.0048971596","41987.986288","605"
"10","Auburn University","AL","Southern Association of Colleges and Schools Commission on Colleges",4,"0.8054338299737","1217","0.1873","22095","29794","NULL","10696","28840","14842","9756","9945","0.328","0.8273528809","98805.666232","17000","20.516795866","0.531504671","0.0023852117","92148.626516","5632"
"11","Birmingham Southern College","AL","Southern Association of Colleges and Schools Commission on Colleges",3,"0.48387963460505","1150","0.0077","1289","48510","NULL","34448","34448","10035","9510","7233","0.4729","0.8275058275","89292.046729","19500","19.64479638","0.520361991","PrivacySuppressed","86672.871041","NULL"
"12","Chattahoochee Valley Community College","AL","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","1424","6980","NULL","4254","7764","1867","3628","6045","0.2697","0.5697329377","30261.245","6500","24.81025641","0.611965812","0.0102564103","26584.324786","NULL"
"13","Concordia College Alabama","AL","NULL",3,"0.23630672926447","NULL","0","340","27520","NULL","10320","10320","7829","9350","5605","0.883","0.5516224189","24533.852564","9500","21.885286783","0.3291770574","PrivacySuppressed","20920.501247","NULL"
"14","South University-Montgomery","AL","Southern Association of Colleges and Schools Commission on Colleges",4,"NULL","NULL","0","394","26892","NULL","17306","17306","13428","5706","4887","0.7087","0.5277116627","41728.602636","10919","30.001843187","0.7628668652","0.0162342266","29130.921239","123"
"15","Enterprise State Community College","AL","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","1357","8980","NULL","4380","7890","2427","5903","6458","0.1738","0.5781083953","38516.687107","5000","23.948815166","0.5165876777","0.0113744076","30336.675829","NULL"
"16","Coastal Alabama Community College","AL","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","4189","12260","NULL","4380","7890","2511","4144","6266","0.4779","0.5648803505","43008.967801","5500","23.501064801","0.6531791908","0.0045634317","36117.937329","NULL"
"17","Faulkner University","AL","Southern Association of Colleges and Schools Commission on Colleges",4,"0.45380212591986","972","0","2297","30557","NULL","20130","20130","10080","5121","5723","0.6954","0.5699680511","52552.186589","14450","28.260475651","0.6387315968","PrivacySuppressed","36952.206116","736"
"18","Gadsden State Community College","AL","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","4540","9714","NULL","3264","6072","1783","6177","6143","0","0.4850455137","23432.893729","PrivacySuppressed","23.64507772","0.6180606958","0.0066617321","19449.725019","NULL"
"19","New Beginning College of Cosmetology","AL","National Accrediting Commission of Career Arts and Sciences",1,"NULL","NULL","0","82","NULL","13057","NULL","NULL","9026","4330","NULL","0.4545","0.5","29933.963636","5500","23.460176991","PrivacySuppressed","PrivacySuppressed","22762.19469","NULL"
"20","George C Wallace Community College-Dothan","AL","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","3904","9322","NULL","4320","7830","2110","4659","5849","0","0.5148462354","21869.523016","PrivacySuppressed","23.866083755","0.667740451","0.0046019328","19125.651634","NULL"
"21","George C Wallace State Community College-Hanceville","AL","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","4857","10945","NULL","4380","7890","3012","4761","5961","0.333","0.501186843","43510.344828","7750","23.447604328","0.6312210201","0.0040185471","36705.769088","NULL"
"22","George C Wallace State Community College-Selma","AL","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","1397","13819","NULL","4080","7590","1361","3492","4922","0","0.4874118832","16799.735183","PrivacySuppressed","22.870995671","0.5991341991","0.0112554113","15431.714286","NULL"
"23","Herzing University-Birmingham","AL","Higher Learning Commission",4,"0.91256157635468","NULL","0","481","25945","NULL","13390","13390","10846","4934","5275","0.7083","0.4790967348","42942.389088","11766","31.289940828","0.8135465189","0.0093163792","26184.228503","17"
"24","Huntingdon College","AL","Southern Association of Colleges and Schools Commission on Colleges",3,"0.56759906759906","1001","0","1140","34207","NULL","25800","25800","10653","6474","6615","0.7093","0.6544","61236.688213","16950","23.017751479","0.4704142012","PrivacySuppressed","53792.633136","NULL"
"25","Heritage Christian University","AL","Association for Bibical Higher Educaiton",4,"0.33333333333333","NULL","0","50","19353","NULL","9792","9792","10519","9359","4981","0.2586","PrivacySuppressed","PrivacySuppressed","10500","28.72","PrivacySuppressed","PrivacySuppressed","33173.64","32"
"26","J. F. Drake State Community and Technical College","AL","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","794","11938","NULL","4350","7860","1225","4705","5992","0","0.4100346021","19354.878676","PrivacySuppressed","27.254901961","0.5610859729","0.0196078431","16557.179487","NULL"
"27","J F Ingram State Technical College","AL","Council on Occupational Education",1,"NULL","NULL","0","446","NULL","NULL","4896","4896","10","12588","5812","0","0.5081967213","PrivacySuppressed","PrivacySuppressed","36.403669725","0.2293577982","PrivacySuppressed","321.3853211","NULL"
"28","Jacksonville State University","AL","Southern Association of Colleges and Schools Commission on Colleges",4,"0.53082948383209","1062","0","6714","20750","NULL","7500","14700","6566","7513","6945","0.6435","0.6362297496","54169.054116","16450","22.62058319","0.5886792453","PrivacySuppressed","48404.346827","953"
"29","Jefferson Davis Community College","AL","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","955","12093","NULL","4088","7598","1089","5019","5909","0","0.4782608696","21620.115385","PrivacySuppressed","24.310160428","0.6506238859","PrivacySuppressed","19863.224599","NULL"
"30","Jefferson State Community College","AL","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","7256","13710","NULL","4440","7950","3035","4883","6363","0.1784","0.5497092218","45325.739761","3793.5","24.418235877","0.660555005","0.0052031715","36652.478692","NULL"
"31","John C Calhoun State Community College","AL","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","8414","9765","NULL","4460","7970","3253","4402","6325","0.2602","0.544656297","45037.624273","5500","23.856652164","0.5809480192","0.0052667735","37220.18136","NULL"
"32","Judson College","AL","Southern Association of Colleges and Schools Commission on Colleges",3,"0.57553956834532","1013","0","327","30562","NULL","17376","17376","7161","11085","5666","0.5642","0.5862068966","56316.189189","9500","28.406483791","PrivacySuppressed","PrivacySuppressed","28123.817955","NULL"
"33","Lawson State Community College-Birmingham Campus","AL","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","2931","13630","NULL","4380","7890","1453","5733","5966","0","0.5252768416","21216.20025","PrivacySuppressed","23.384028892","0.5682182986","0.0040128411","18229.648074","NULL"
"34","University of West Alabama","AL","Southern Association of Colleges and Schools Commission on Colleges",4,"0.53100775193798","969","0","1974","18533","NULL","8876","16162","7790","7978","6249","0.6846","0.596789424","45638.706725","13000","22.259482759","0.5577586207","PrivacySuppressed","39866.202586","2008"
"35","Lurleen B Wallace Community College","AL","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","1419","13558","NULL","4380","7890","1797","5654","5455","0","0.4796573876","23177.425414","PrivacySuppressed","22.778191985","0.624417521","PrivacySuppressed","20928.068966","NULL"
"36","Marion Military Institute","AL","Southern Association of Colleges and Schools Commission on Colleges",2,"0.64310954063604","1066","0","422","17228","NULL","9418","15418","2941","5200","6074","0.4967","0.7661971831","71875.519355","5500","19.670212766","0.2340425532","PrivacySuppressed","59761.888298","NULL"
"37","Miles College","AL","Southern Association of Colleges and Schools Commission on Colleges",3,"NULL","NULL","0","1820","22356","NULL","11604","11604","5167","4382","4573","0.9044","0.5835411471","26571.678053","11858","21.322740113","0.4668079096","PrivacySuppressed","23637.283898","NULL"
"38","University of Mobile","AL","Southern Association of Colleges and Schools Commission on Colleges",4,"0.61925133689839","1029","0","1367","34482","NULL","21400","21400","9639","6496","5106","0.7663","0.6757142857","66981.292731","16750","23.917989418","0.6732804233","PrivacySuppressed","53850.791005","104"
"39","University of Montevallo","AL","Southern Association of Colleges and Schools Commission on Colleges",4,"0.65424164524421","1069","0","2399","24599","NULL","12040","24310","8405","10344","7512","0.5722","0.6747624076","63913.685846","17028","21.02364532","0.6827586207","PrivacySuppressed","57173.946798","389"
"40","Northwest-Shoals Community College","AL","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","2994","11326","NULL","4351","7861","2322","5150","5738","0.2768","0.4858882125","36069.690775","5809.5","23.102762967","0.6180319922","PrivacySuppressed","29918.968492","NULL"
"41","University of North Alabama","AL","Southern Association of Colleges and Schools Commission on Colleges",4,"0.55739564428312","1028","0","5846","16601","NULL","8114","14450","6755","7536","7299","0.7009","0.63673976","58809.36","12750","21.425309598","0.6013931889","PrivacySuppressed","52721.785217","1079"
"42","Northeast Alabama Community College","AL","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","2007","8290","NULL","4380","7890","2088","5310","6318","0","0.4172240803","34602.374582","3350","22.996347699","0.6026296567","PrivacySuppressed","29204.85756","NULL"
"43","Oakwood University","AL","Southern Association of Colleges and Schools Commission on Colleges",4,"0.48369315571887","886","0","1719","35585","NULL","16750","16750","12191","6645","4912","0.7149","0.82376502","58300.05506","26500","21.73015873","0.5860805861","PrivacySuppressed","50868.943834","54"
"44","Alabama Southern Community College","AL","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","1085","10781","NULL","4380","7890","1837","5528","5895","0","0.4839160839","19548.072165","PrivacySuppressed","21.513674197","0.5957193817","PrivacySuppressed","18334.933413","NULL"
"45","Prince Institute-Southeast","IL","NULL",2,"NULL","NULL","0","10","NULL","NULL","NULL","NULL","49154","33909","NULL","0.8","NULL","NULL","28676.5","NULL","NULL","NULL","NULL","NULL"
"46","Reid State Technical College","AL","Council on Occupational Education",2,"NULL","NULL","0","372","9164","NULL","4440","7950","1938","6687","5782","0","0.4096774194","17902.858065","PrivacySuppressed","25.61852861","0.7411444142","PrivacySuppressed","16019.3297","NULL"
"47","Bishop State Community College","AL","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","2632","10179","NULL","4380","8070","1964","5023","6004","0","0.5146022155","19524.810967","PrivacySuppressed","24.325904121","0.6059714045","0.0046257359","16541.26577","NULL"
"48","Samford University","AL","Southern Association of Colleges and Schools Commission on Colleges",4,"0.91381311665699","1170","0.0065","3324","43666","NULL","29402","29402","18807","14894","8626","0.3277","0.8619447779","119188.063","15832","21.151869159","0.6588785047","PrivacySuppressed","108313.94042","2130"
"49","Selma University","AL","Association for Bibical Higher Educaiton",3,"NULL","NULL","0","165","9641","NULL","6730","6730","8247","5116","3451","0.1369","0.3805668016","21600.408759","5500","27.305084746","0.5220338983","PrivacySuppressed","16153.155932","7"
"50","Shelton State Community College","AL","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","4436","11561","NULL","4107","7617","2357","4836","4701","0","0.5236955481","21980.078645","PrivacySuppressed","22.368530885","0.5901502504","0.0054257095","19222.902755","NULL"
"51","Snead State Community College","AL","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","1987","11226","NULL","4440","7950","2375","2624","5396","0.2732","0.4673748103","36588.066872","3529.5","23.65647365","0.627195836","PrivacySuppressed","31610.012362","NULL"
"52","University of South Alabama","AL","Southern Association of Colleges and Schools Commission on Colleges",4,"0.80501618122977","1011","0.0768","11483","19511","NULL","7548","14796","8689","9108","7254","0.5622","0.665742025","59900.593725","15000","21.947266881","0.6229367631","0.0032154341","52728.845016","4682"
"53","Spring Hill College","AL","Southern Association of Colleges and Schools Commission on Colleges",4,"0.43531755331614","1121","0.0047","1379","47815","NULL","35794","35794","12059","7269","6561","0.75","0.7483660131","83236.990323","20500","19.902140673","0.6452599388","PrivacySuppressed","79894.033639","95"
"54","Southeastern Bible College","AL","NULL",3,"1","970","0","143","20923","NULL","12600","12600","10985","6109","4569","0.7219","PrivacySuppressed","61140.763158","16250","29.463414634","0.3658536585","PrivacySuppressed","42025.085366","NULL"
"55","Stillman College","AL","Southern Association of Colleges and Schools Commission on Colleges",3,"0.41919075144508","765","0","628","20737","NULL","10418","10418","8374","4703","5060","0.9039","0.5894941634","30744.601202","12500","21.027729636","0.4610051993","PrivacySuppressed","27754.87695","NULL"
"56","Talladega College","AL","Southern Association of Colleges and Schools Commission on Colleges",3,"NULL","NULL","0","669","21601","NULL","12340","12340","7921","4643","5426","0.8049","0.6019417476","30897.974359","22463.5","21.151639344","0.4897540984","PrivacySuppressed","27002.32377","NULL"
"57","H Councill Trenholm State Community College","AL","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","1364","11484","NULL","4134","7644","2694","6975","6053","0","0.5695600476","21369.467153","PrivacySuppressed","24.243680485","0.5389282103","0.0121334681","18126.977755","NULL"
"58","Troy University","AL","Southern Association of Colleges and Schools Commission on Colleges",4,"0.91246639784946","992","0","13745","18404","NULL","8260","15484","9042","6553","6405","0.6116","0.6101542878","54335.659331","14250","25.749796913","0.6510154346","0.0068237206","42757.394639","3711"
"59","Tuskegee University","AL","Southern Association of Colleges and Schools Commission on Colleges",4,"0.49990330690388","1006","0.1828","2393","36457","NULL","20015","20015","16084","14199","4753","0.7506","0.7693561532","53532.205314","25432.5","19.723193916","0.6509505703","PrivacySuppressed","50928.444106","458"
"60","United States Sports Academy","AL","Southern Association of Colleges and Schools Commission on Colleges",4,"NULL","NULL","0","72","NULL","NULL","NULL","NULL","14450","4072","5550","0.4651","PrivacySuppressed","58708.857143","15344","31.901408451","0.2394366197","PrivacySuppressed","36311.690141","135"
"61","Bevill State Community College","AL","Southern Association of Colleges and Schools Commission on Colleges",2,"NULL","NULL","0","3211","12569","NULL","4410","7920","2145","5921","6210","0","0.4691916337","22354.680658","PrivacySuppressed","23.368186323","0.6496531219","PrivacySuppressed","19747.081764","NULL"
"62","University of Alaska Anchorage","AK","Northwest Commission on Colleges and Universities",4,"0.8284611141754","NULL","0.0375","11833","18379","NULL","5784","17990","6600","11548","9241","0.2304","0.6108061254","62682.644846","9597","25.107503075","0.5987699877","0.0098400984","46723.651169","772"
"63","Alaska Bible College","AK","Association for Bibical Higher Educaiton",3,"NULL","NULL","0","33","17300","NULL","9300","9300","8743","8395","2705","0.2424","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","24.6","PrivacySuppressed","PrivacySuppressed","52437.533333","NULL"
"64","University of Alaska Fairbanks","AK","Northwest Commission on Colleges and Universities",4,"0.73474630700064","1060","0.0674","5152","16694","NULL","5976","18184","7487","18131","9431","0.2263","0.6011673152","69115.815789","9500","25.450308815","0.5940482875","0.0145985401","48958.06457","1121"
"65","University of Alaska Southeast","AK","Northwest Commission on Colleges and Universities",4,"0.48958333333333","NULL","0.002","1317","16364","NULL","8415","22550","6707","13844","8208","0.1806","0.6048565121","63673.621495","9151.5","26.966861598","0.6978557505","PrivacySuppressed","46682.37037","313"
"66","Alaska Pacific University","AK","Northwest Commission on Colleges and Universities",4,"0.5506329113924","NULL","0","262","30669","NULL","20310","20310","12943","12353","5730","0.4858","PrivacySuppressed","78345.556962","12900","25.582191781","0.6301369863","PrivacySuppressed","59045.794521","243"
"67","AVTEC-Alaska's Institute of Technology","AK","Council on Occupational Education",1,"NULL","NULL","0","1209","NULL","10509","NULL","NULL","4691","13110","NULL","0.0365","0.5586206897","60244.831169","5256.5","26.168539326","0.2865168539","PrivacySuppressed","36850.449438","NULL"
"68","Charter College","WA","Accrediting Bureau of Health Education Schools",4,"NULL","NULL","0","2641","31167","NULL","21887","21887","7131","2138","4607","0.705","0.4459598559","45897.407782","13208","28.032747119","0.7612694562","0.0082878512","27562.580756","9"
"69","Alaska Career College","AK","Accrediting Commission of Career Schools and Colleges",2,"NULL","NULL","0","424","NULL","20269","NULL","NULL","8136","3292","4442","0.7901","0.5232273839","49774.258242","7199","27.038461538","0.8221153846","0.0208333333","32849.291667","NULL"
"70","Empire Beauty School-Tucson","AZ","National Accrediting Commission of Career Arts and Sciences",1,"NULL","NULL","0","104","NULL","17597","NULL","NULL","8300","8261","NULL","0.6667","0.4301282051","35884.176393","8147","25.784892446","0.9449724862","0.0085042521","21986.05903","NULL"
"71","Thunderbird School of Global Management","AZ","NULL",4,"0.77019058401736","1136","NULL","NULL","NULL","NULL","NULL","NULL","34553","22380","17237","NULL","0.6186820795","74432.335342","14000","24.7478311","0.5568306611","0.0065341533","56365.776329","297"
"72","American Institute of Trucking","AZ","Accrediting Commission of Career Schools and Colleges",1,"NULL","NULL","0","274","NULL","20818","NULL","NULL","8142","4012","NULL","0.6678","0.3350676379","36807.009174","5969","36.056762439","0.1443587947","0.0763840224","23413.086896","NULL"
"73","Carrington College-Phoenix North","AZ","Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges",2,"0.50999131190269","NULL","0","653","NULL","23343","NULL","NULL","14483","1644","3848","0.5699","0.4451649281","35761.796933","9196","26.396436526","0.8211581292","0.006013363","24522.548998","NULL"
"74","Carrington College-Mesa","AZ","Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges",2,"0.50999131190269","NULL","0","599","NULL","23180","NULL","NULL","15634","2980","4994","0.4896","0.4451649281","35761.796933","9196","26.396436526","0.8211581292","0.006013363","24522.548998","NULL"
"75","Carrington College-Tucson","AZ","Western Association of Schools and Colleges Accrediting Commission for Community and Junior Colleges",1,"0.50999131190269","NULL","0","308","NULL","22237","NULL","NULL","14624","1797","NULL","0.519","0.4451649281","35761.796933","9196","26.396436526","0.8211581292","0.006013363","24522.548998","NULL"
"76","CollegeAmerica-Flagstaff","AZ","Accrediting Commission of Career Schools and Colleges",3,"NULL","NULL","0","101","31236","NULL","16968","16968","18458","5033","4752","0.854","0.4154727794","24934.365696","16676.5","27.921135647","0.6813880126","0.014721346","17444.695058","NULL"
"77","Arizona Academy of Beauty-East","AZ","National Accrediting Commission of Career Arts and Sciences",1,"NULL","NULL","0","90","NULL","23280","NULL","NULL","6089","3359","NULL","0.5765","0.4946236559","29901","4588","28.580357143","PrivacySuppressed","PrivacySuppressed","20075.723214","NULL"
"78","Arizona Automotive Institute","AZ","Accrediting Commission of Career Schools and Colleges",1,"NULL","NULL","0","739","NULL","33774","NULL","NULL","17792","6020","NULL","0.7148","0.4137681159","33068.647321","9500","28.234111896","0.5105920695","0.0219083831","22994.267789","NULL"
"79","Brookline College-Phoenix","AZ","Accrediting Bureau of Health Education Schools",4,"NULL","NULL","0","1101","NULL","31746","NULL","NULL","24533","7117","5514","0.5806","0.4409672831","29905.489796","9500","29.244757773","0.7960954447","0.0068691251","21243.80658","117"
"80","Arizona State University-Tempe","AZ","Higher Learning Commission",4,"0.77019058401736","1136","0.113","42224","23931","NULL","10370","26470","18053","11693","11068","0.4095","0.6186820795","74432.335342","14000","24.7478311","0.5568306611","0.0065341533","56365.776329","9392"
"81","Arizona Western College","AZ","Higher Learning Commission",2,"NULL","NULL","0.0103","6511","14559","NULL","2600","9590","819","5579","6487","0.0329","0.3892353134","28165.348178","3500","23.218195266","0.5322978304","0.0064102564","25140.539941","NULL"
"82","University of Arizona","AZ","Higher Learning Commission",4,"0.78618039042194","NULL","0.0725","33402","24633","NULL","11769","34967","14808","12244","10590","0.3986","0.6859270431","78939.600374","13000","21.308737695","0.5628539071","0.0031361617","69476.758167","9467"
"83","Southwest University of Visual Arts-Tucson","AZ","Higher Learning Commission",4,"NULL","NULL","0","132","32254","NULL","23069","23069","22445","4988","5574","0.6715","0.6","47560.405797","27875","23.594059406","0.5445544554","PrivacySuppressed","39050.148515","4"
"84","Central Arizona College","AZ","Higher Learning Commission",2,"NULL","NULL","0.0018","4865","10290","NULL","2520","10980","1469","7660","6378","0.1469","0.501807955","34244.82005","5500","25.708389262","0.5983221477","0.0083892617","29071.803691","NULL"
"85","Brown Mackie College-Tucson","AZ","NULL",3,"NULL","NULL","0","171","NULL","NULL","NULL","NULL","9868","4178","6708","0.7044","0.5112349765","40325.11249","16475","27.4361521","0.6774971623","0.0096481271","25227.56328","NULL"
"86","Charles of Italy Beauty College","AZ","National Accrediting Commission of Career Arts and Sciences",1,"NULL","NULL","0","60","NULL","13981","NULL","NULL","9721","3077","NULL","0.4906","0.5076923077","53266.619048","7389","28.342105263","PrivacySuppressed","PrivacySuppressed","24964.644737","NULL"
"87","Cochise County Community College District","AZ","Higher Learning Commission",2,"NULL","NULL","0.0015","3764","10165","NULL","1896","6000","838","2558","6336","0.0744","0.5137614679","28673.556004","4500","24.1831972","0.5676779463","0.008168028","25421.042007","NULL"
"88","Empire Beauty School-Flagstaff","AZ","National Accrediting Commission of Career Arts and Sciences",1,"NULL","NULL","0","35","NULL","17153","NULL","NULL","7819","7998","NULL","0.7377","0.4986087924","41525.139151","9332","25.591809181","0.9477947795","0.0090009001","24748.90189","NULL"
"89","Empire Beauty School-Chandler","AZ","National Accrediting Commission of Career Arts and Sciences",1,"NULL","NULL","0","62","NULL","17777","NULL","NULL","8252","8701","NULL","0.7115","0.4986087924","41525.139151","9332","25.591809181","0.9477947795","0.0090009001","24748.90189","NULL"
"90","Cortiva Institute-Tucson","AZ","Accrediting Commission of Career Schools and Colleges",1,"NULL","NULL","0","89","NULL","23003","NULL","NULL","6121","1581","NULL","0.8685","0.5030487805","33159.328244","6333","29.861313869","0.6593673966","PrivacySuppressed","25588.175182","NULL"
"91","Avalon School of Cosmetology-Mesa","AZ","National Accrediting Commission of Career Arts and Sciences",1,"NULL","NULL","0","286","NULL","16561","NULL","NULL","7100","3729","NULL","0.7168","0.5113947129","51944.116776","6237","24.928737413","0.956622773","0.0100697134","35576.540666","NULL"
"92","Eastern Arizona College","AZ","Higher Learning Commission",2,"NULL","NULL","0","5082","12813","NULL","2400","9360","802","5538","8176","0","0.6065292096","31493.810738","PrivacySuppressed","24.151447661","0.5723830735","PrivacySuppressed","23819.861173","NULL"
"93","Embry-Riddle Aeronautical University-Prescott","AZ","Southern Association of Colleges and Schools Commission on Colleges",4,"0.71115758395866","NULL","0.3978","2363","48992","NULL","33826","33826","26491","12670","8855","0.4871","0.6445407279","89514.958303","12250","25.385231459","0.1816434407","0.0195418869","58582.5004","62"
"94","School of Architecture at Taliesin","AZ","Higher Learning Commission",4,"NULL","NULL","0","NULL","NULL","NULL","NULL","NULL","81600","52226","1950","NULL","NULL","NULL","PrivacySuppressed","NULL","NULL","NULL","NULL","18"
"95","Glendale Community College","AZ","Higher Learning Commission",2,"NULL","NULL","0","14854","11400","NULL","2094","7878","1785","4965","7410","0.1327","0.470313757","33701.101234","3500","24.81320098","0.5678741782","0.0059301276","27349.886038","NULL"
"96","Grand Canyon University","AZ","Higher Learning Commission",4,"0.56936297512904","NULL","0","45495","31156","NULL","17050","17050","10851","1897","6289","0.5967","0.5255919467","69175.827368","12000","31.015651921","0.743284234","0.0085903565","45046.415322","29537"
"97","Olympian Academy of Cosmetology","AZ","NULL",1,"NULL","NULL","0","55","NULL","18711","NULL","NULL","3621","2506","NULL","0.5455","0.4868651489","37318.218543","7667","27.181389076","0.8766014835","PrivacySuppressed","23011.99056","NULL"
"98","GateWay Community College","AZ","Higher Learning Commission",2,"NULL","NULL","0","4435","12293","NULL","2094","7878","2872","6921","6962","0.2047","0.4337719298","31740.559204","5556.5","27.913286713","0.6181818182","0.0052447552","26670.441259","NULL"
"99","Mesa Community College","AZ","Higher Learning Commission",2,"NULL","NULL","0.0007","16672","11943","NULL","2094","7878","2257","5122","7653","0.1681","0.5421485088","38760.413405","3750","25.266043128","0.545336451","0.0071447129","29624.761367","NULL"
"100","Mohave Community College","AZ","Higher Learning Commission",2,"NULL","NULL","0","2770","11449","NULL","2112","6972","1846","4110","6290","0.1555","0.4639103013","28333.343478","7000","27.525912839","0.6301531213","0.0200235571","24158.018846","NULL"
"101","Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division","AZ","Accrediting Commission of Career Schools and Colleges",1,"NULL","NULL","0","1182","NULL","21374","NULL","NULL","10704","3877","NULL","0.5309","0.4890978196","53152.365271","12722","25.004655029","0.0387364921","0.0312551953","38915.833915","NULL"
"102","Dine College","AZ","Higher Learning Commission",3,"NULL","NULL","0","1276","13499","NULL","725","725","554","8355","5410","0","0.5681063123","25187.827251","PrivacySuppressed","24.198358413","0.634746922","PrivacySuppressed","18788.97948","NULL"
"103","Northern Arizona University","AZ","Higher Learning Commission",4,"0.78044972747939","NULL","0.0435","26399","25174","NULL","10764","24144","7574","7366","8017","0.4842","0.6131374244","73244.956063","12500","24.125097428","0.6385814497","0.0053780203","58604.89696","3861"
"104","Northland Pioneer College","AZ","Higher Learning Commission",2,"NULL","NULL","0","1469","11005","NULL","1760","8120","1299","6350","6014","0","0.5335628227","25781.050193","PrivacySuppressed","26.976676385","0.6224489796","0.0174927114","19532.016035","NULL"
"105","Ottawa University-Phoenix","AZ","Higher Learning Commission",4,"0.5006906077348","NULL","0","293","NULL","NULL","NULL","NULL","5481","1470","6125","0.6057","0.5991316932","68587.041045","12584","29.532679739","0.6274509804","0.0130718954","49555.756863","277"
"106","Phoenix College","AZ","Higher Learning Commission",2,"NULL","NULL","0","9423","11775","NULL","2094","7878","1596","5296","7508","0.1982","0.3842447603","29203.514109","6000","25.673577083","0.6298529966","0.0065963061","24648.843008","NULL"
